condition,objective,seed,category,error_rate_pct,errors,ref_count,insertions
noaug,matra,seed2025,retroflex,11.805,138,1169,91
noaug,matra,seed2025,indep_vowel,23.794,217,912,54
noaug,matra,seed2025,_overall,16.577,3546,21391,
noaug,matra,seed42,matra,24.084,1473,6116,372
noaug,matra,seed42,nasal,32.359,299,924,78
noaug,matra,seed42,virama,33.13,271,818,92
noaug,matra,seed42,nukta,24.506,62,253,26
noaug,matra,seed42,aspirated,14.216,175,1231,56
noaug,matra,seed42,retroflex,11.719,137,1169,92
noaug,matra,seed42,indep_vowel,24.781,226,912,43
noaug,matra,seed42,_overall,17.835,3815,21391,
noaug,matra,seed777,matra,23.332,1427,6116,421
noaug,matra,seed777,nasal,27.381,253,924,85
noaug,matra,seed777,virama,31.54,258,818,93
noaug,matra,seed777,nukta,20.949,53,253,27
noaug,matra,seed777,aspirated,17.222,212,1231,51
noaug,matra,seed777,retroflex,11.121,130,1169,74
noaug,matra,seed777,indep_vowel,25.11,229,912,46
noaug,matra,seed777,_overall,17.447,3732,21391,
