objective,label,n_seeds,wer_mean,wer_std,cer_mean,cer_std,matra_er_mean,asp_er_mean,ret_er_mean
standard,Standard CTC,5,47.02244389027432,0.6072829824973327,16.990060821836522,0.2118706491724289,22.256376716808372,15.45085296506905,10.710008554319932
focal,Focal CTC,5,47.833748960931004,0.6802491959525042,17.35499184097315,0.29504857542718144,22.77632439502943,14.719740048740862,10.829769033361847
matra,Matra-weighted CTC (ours),5,47.41812136325852,0.7838873123526607,17.222963951935917,0.3767154597843189,22.308698495748857,15.158407798537773,10.4704875962361
